job_id,store,pickup_lat,pickup_lng,drop_lat,drop_lng,created_at,scheduled_at,completed_at,distance_km,duration_seconds,base_payout,surge,final_payout,base_pay,incentive_total,total_without_arrears,total_with_arrears,total_with_arrears_and_deductions,total_with_management_fee,final_with_gst,final_with_gst_minus_settlement,rider_id,cancellation_flag,cancellation_reason
851725-y2025-w4-0,BSPUN-BIBWEWADI-BGS3,,,,,2025-09-01 00:00:00+00:00,,,,,,,,1284.5699462890625,504.57000732421875,1284.5699462890625,1314.5699462890625,1314.5699462890625,1376.9699462890626,1624.8245366210938,1624.8245366210938,,0,
757911-y2025-w4-25,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,12222.3603515625,4722.35986328125,12222.3603515625,12252.3603515625,11472.3603515625,12072.3603515625,14245.38521484375,13746.38521484375,,0,
816936-y2025-w4-26,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,4631.35986328125,1706.3599853515625,4631.35986328125,4661.35986328125,4247.35986328125,4481.35986328125,5288.004638671875,4794.004638671875,,0,
853281-y2025-w4-27,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,960.0,0.0,960.0,960.0,944.0,1020.8,1204.5439999999999,1204.5439999999999,,0,
855047-y2025-w4-28,T1EX-PUN-BAVDHAN,,,,,2025-09-01 00:00:00+00:00,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
756045-y2025-w4-29,T1EX-PUN-BLUERIDGE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,8773.400390625,4923.39990234375,9073.400390625,9073.400390625,8765.400390625,9073.400390625,10706.6124609375,10706.6124609375,,0,
784832-y2025-w4-30,T1EX-PUN-BLUERIDGE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,9887.400390625,5537.39990234375,10787.400390625,10812.400390625,10464.400390625,10812.400390625,12758.6324609375,12758.6324609375,,0,
846435-y2025-w4-31,T1EX-PUN-BLUERIDGE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3372.64990234375,1622.6500244140625,3672.64990234375,3672.64990234375,3602.64990234375,3742.64990234375,4416.326884765625,4416.326884765625,,0,
846868-y2025-w4-32,T1EX-PUN-BLUERIDGE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3182.35009765625,1457.3499755859375,3182.35009765625,3182.35009765625,3044.35009765625,3182.35009765625,3755.173115234375,3755.173115234375,,0,
850000-y2025-w4-33,T1EX-PUN-BLUERIDGE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,5095.4501953125,2470.449951171875,5095.4501953125,5120.4501953125,4910.4501953125,5120.4501953125,6042.13123046875,6042.13123046875,,0,
756418-y2025-w4-24,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,2567.0,827.0,2567.0,2567.0,2509.0,2648.2,3124.8759999999997,2634.8759999999997,,0,
852200-y2025-w4-34,T1EX-PUN-CHINCHWADGAON,,,,,2025-09-01 00:00:00+00:00,,,,,,,,15417.98046875,8292.98046875,15417.98046875,15467.98046875,14533.98046875,15103.98046875,17822.696953125,17822.696953125,,0,
852691-y2025-w4-36,T1EX-PUN-NIGDI,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3105.64990234375,1080.6500244140625,4673.60009765625,4698.60009765625,4584.60009765625,4746.60009765625,5600.988115234375,5600.988115234375,,0,
852536-y2025-w4-37,T1EX-PUN-PIMPLEGURAV,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3188.449951171875,1063.449951171875,4808.0751953125,4838.0751953125,4838.0751953125,5008.0751953125,5909.52873046875,5909.52873046875,,0,
839108-y2025-w4-38,T1EX-PUN-PUNAWALE,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3028.10009765625,1278.0999755859375,3028.10009765625,3038.10009765625,3038.10009765625,3178.10009765625,3750.158115234375,3750.158115234375,,0,
833947-y2025-w4-39,T1EX-PUN-RAVET,,,,,2025-09-01 00:00:00+00:00,,,,,,,,1295.0,545.0,1295.0,1295.0,1295.0,1355.0,1598.9,808.9000000000001,,0,
820287-y2025-w4-40,T1EX-PUN-SHIVAJINAGAR,,,,,2025-09-01 00:00:00+00:00,,,,,,,,1420.6500244140625,670.6500244140625,1670.6500244140625,1670.6500244140625,1670.6500244140625,1730.6500244140625,2042.1670288085938,2042.1670288085938,,0,
757224-y2025-w4-41,T1EX-PUN-SINHAGADROAD,,,,,2025-09-01 00:00:00+00:00,,,,,,,,160.0,40.0,160.0,160.0,160.0,169.6,200.128,200.128,,0,
756418-y2025-w4-42,T1EX-PUN-SUS,,,,,2025-09-01 00:00:00+00:00,,,,,,,,105.0,30.0,105.0,105.0,103.5,109.5,129.21,129.21,,0,
846395-y2025-w4-43,T1EX-PUN-SUS,,,,,2025-09-01 00:00:00+00:00,,,,,,,,2854.0,1254.0,4354.0,5404.0,5276.0,5404.0,6376.72,6376.72,,0,
851585-y2025-w4-44,T1EX-PUN-SUS,,,,,2025-09-01 00:00:00+00:00,,,,,,,,6274.5498046875,3149.550048828125,9774.5498046875,10774.5498046875,10469.5498046875,10719.5498046875,12649.06876953125,12649.06876953125,,0,
844006-y2025-w4-35,T1EX-PUN-HINJEWADIPHASE3,,,,,2025-09-01 00:00:00+00:00,,,,,,,,2135.56005859375,685.5599975585938,2135.56005859375,2225.56005859375,2196.56005859375,2312.56005859375,2728.820869140625,2728.820869140625,,0,
852444-y2025-w4-45,T1EX-PUN-WADGAONSHERI,,,,,2025-09-01 00:00:00+00:00,,,,,,,,4667.10009765625,1467.0999755859375,7320.2001953125,7345.2001953125,7345.2001953125,7601.2001953125,8969.41623046875,8969.41623046875,,0,
754658-y2025-w4-23,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,2674.0,649.0,2674.0,2704.0,2463.0,2625.0,3097.5,3097.5,,0,
741275-y2025-w4-21,T1EX-PUN-AUNDH,,,,,2025-09-01 00:00:00+00:00,,,,,,,,5963.14990234375,2703.14990234375,6563.14990234375,7093.14990234375,7093.14990234375,7353.94990234375,8677.660884765624,8677.660884765624,,0,
853629-y2025-w4-1,BSPUN-BIBWEWADI-BGS3,,,,,2025-09-01 00:00:00+00:00,,,,,,,,4641.85009765625,1591.8499755859375,7028.52490234375,7028.52490234375,7028.52490234375,7272.52490234375,8581.579384765624,8581.579384765624,,0,
820287-y2025-w4-2,BSPUN-JAGDISHNAGAR-BS2,,,,,2025-09-01 00:00:00+00:00,,,,,,,,4298.85986328125,1598.8599853515625,4298.85986328125,4298.85986328125,4135.85986328125,4351.85986328125,5135.194638671875,4712.194638671875,,0,
741275-y2025-w4-3,BSPUN-KSQARE-BANER-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,1969.1500244140625,1069.1500244140625,1969.1500244140625,1969.1500244140625,1969.1500244140625,2041.1500244140625,2408.5570288085937,2408.5570288085937,,0,
829745-y2025-w4-4,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,12005.0,4655.0,12005.0,12035.0,11740.0,12328.0,14547.04,14547.04,,0,
830501-y2025-w4-5,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,3560.0,800.0,3560.0,3560.0,3414.0,3634.8,4289.064,4289.064,,0,
841070-y2025-w4-6,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,4632.419921875,1452.4200439453125,4632.419921875,4632.419921875,4632.419921875,4886.819921875,5766.4475078125,5335.4475078125,,0,
844105-y2025-w4-7,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,5297.0,1577.0,5297.0,5297.0,5173.0,5470.6,6455.308000000001,6019.308000000001,,0,
845943-y2025-w4-8,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,720.0,240.0,720.0,720.0,720.0,758.4,894.912,894.912,,0,
845950-y2025-w4-9,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,11988.150390625,4788.14990234375,11988.150390625,11988.150390625,11938.150390625,12514.150390625,14766.6974609375,14455.6974609375,,0,
741275-y2025-w4-22,T1EX-PUN-BANER,,,,,2025-09-01 00:00:00+00:00,,,,,,,,690.0,60.0,690.0,690.0,610.0,660.4,779.2719999999999,779.2719999999999,,0,
845955-y2025-w4-10,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,6101.0,2111.0,6101.0,6101.0,6101.0,6420.2,7575.835999999999,7575.835999999999,,0,
845958-y2025-w4-12,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,11072.4501953125,4292.4501953125,11072.4501953125,11102.4501953125,10952.4501953125,11494.8501953125,13563.92323046875,13563.92323046875,,0,
845968-y2025-w4-13,BSPUN-WAKAD-BS1,,,,,2025-09-01 00:00:00+00:00,,,,,,,,11503.0,4543.0,11503.0,11503.0,11503.0,12059.8,14230.563999999998,14230.563999999998,,0,
